stream,season,reach,DOC (mg/L),Q (L/s),w (m),DOC (mg/s),Whole-stream Respiration (g O2 m-2 d-1),Whole-stream Respiration (g C m-2 d-1),Whole-stream Respiration (mg C m-2 s-1),sw.m,k,vf,reach length,fraction of C removed
Amberly,Fall,buried  ,4.49,23.37,4.47,104.9313,-0.85,0.319062129,0.003692849,6356.762916,-0.000157313,0.000822461,430,-0.06764459
Amberly,Fall,daylight,3.21,28.94,3.62,92.8974,-0.65,0.243988687,0.002823943,9087.387378,-0.000110043,0.000879733,,
Amberly,Spring,buried  ,2.2,27.33,4.49,60.126,-2.39,0.897127633,0.010383422,1289.660743,-0.000775398,0.004719737,430,-0.33342114
Amberly,Spring,daylight,2.3,26.76,3.91,61.548,-3.41,1.280002188,0.01481484,1062.527596,-0.000941152,0.006441235,,
Amberly,Summer,buried  ,3.36,14.13,3.73,47.4768,-3.63,1.362582974,0.015770636,807.0926494,-0.001239015,0.004693642,430,-0.53277645
Amberly,Summer,daylight,3.51,2.82,3.82,9.8982,-1.5,0.563050816,0.006516792,397.6115691,-0.002515017,0.001856636,,
Eastgate,Fall,buried  ,4.16,2.14,0.69,8.9024,-0.1,0.037536721,0.000434453,29697.19446,-3.37E-05,0.000104436,740,-0.024918168
Eastgate,Fall,daylight,4.34,3.22,2.44,13.9748,-7.08,2.65759985,0.030759258,186.2001072,-0.005370566,0.007087387,,
Eastgate,Spring,buried  ,3.61,2.39,0.6,8.6279,NA,NA,NA,NA,NA,#VALUE!,740,
Eastgate,Spring,daylight,4,3.45,2.29,13.8,-3.86,1.448917432,0.016769878,359.3467397,-0.002782828,0.004192469,,
Eastgate,Summer,buried  ,4.2,0.94,0.63,3.948,-0.23,0.086334458,0.000999241,6271.424064,-0.000159453,0.000237915,740,-0.11799522
Este,Fall,buried  ,2.8,6.13,0.9,17.164,-2.804,1.052529658,0.012182056,1565.50838,-0.00063877,0.004350734,290,-0.1852433
Este,Fall,daylight,3.26,5.15,1.95,16.789,-2.88,1.081057566,0.01251224,688.1056749,-0.001453265,0.003838111,,
Este,Spring,buried  ,2.77,12.26,1.06,33.9602,-0.512,0.192188012,0.002224398,14402.96226,-6.94E-05,0.000803032,290,-0.020134758
Este,Spring,daylight,2.94,11.72,2.23,34.4568,-5.53,2.075780674,0.024025239,643.1353145,-0.001554883,0.00817185,,
Este,Summer,buried  ,2.42,8.9,0.89,21.538,-4.832,1.813774361,0.020992759,1152.778452,-0.000867469,0.008674694,290,-0.25156601
Este,Summer,daylight,2.2,3.82,1.92,8.404,-8.35,3.134316207,0.036276808,120.6578963,-0.008287895,0.016489458,,
,,,,,,,,,,,,,,-0.191712455
