cbom,nrr,nrr.se,carbon
10.33,2.644698267,0.497367076,Glucose
68.16,2.447401483,0.574914106,Glucose
20.48,1.623104371,0.154913273,Glucose
25.18,1.468910564,0.303157553,Glucose
3.49,1.647317996,0.324871991,Glucose
56.42,8.069932105,2.714097874,Glucose
4.16,2.514011752,0.161200181,Glucose
26.34,3.35370884,0.263526147,Glucose
1.66,2.795406485,0.095639585,Glucose
4.89,1.938246443,0.172434132,Glucose
0,2.221433428,0.228825761,Glucose
8.64,6.249258175,0.69675908,Glucose
96.16,16.05804217,0.797771853,Glucose
12.73,3.012344841,0.079905395,Glucose
31.76,2.591733141,0.299491139,Glucose
1.45,2.274588616,0.165174707,Glucose
14.69,11.65079402,1.080320796,Glucose
10.33,3.527370034,0.372252087,Arabinose
68.16,1.999700161,0.343872423,Arabinose
20.48,1.607496318,0.241861672,Arabinose
25.18,1.480512569,0.230286127,Arabinose
3.49,2.554161254,0.230053792,Arabinose
56.42,6.294451706,1.53948276,Arabinose
4.16,2.159098661,0.103000406,Arabinose
26.34,3.040331539,0.544053185,Arabinose
1.66,2.560847061,0.242721772,Arabinose
4.89,1.668079476,0.053456451,Arabinose
0,2.089729512,0.145633973,Arabinose
8.64,7.245775484,0.58271673,Arabinose
96.16,14.37075597,0.734354156,Arabinose
12.73,3.017101647,0.161652598,Arabinose
31.76,2.326753941,0.224256936,Arabinose
1.45,2.801450198,0.18137691,Arabinose
14.69,9.556455921,0.760407062,Arabinose
10.33,2.980694933,0.573187456,Cellobiose
68.16,2.619930707,0.472710361,Cellobiose
20.48,1.854400714,0.193529848,Cellobiose
25.18,1.278216129,0.106278052,Cellobiose
3.49,3.739714135,0.439063335,Cellobiose
56.42,2.592703473,0.70206256,Cellobiose
4.16,2.573932912,0.059860457,Cellobiose
26.34,3.090036736,0.336906503,Cellobiose
1.66,2.853401124,0.320838505,Cellobiose
4.89,1.647206325,0.069094043,Cellobiose
0,2.082336589,0.06725487,Cellobiose
8.64,9.305163156,1.650730159,Cellobiose
96.16,17.09942901,1.563292073,Cellobiose
12.73,3.160660963,0.125308252,Cellobiose
31.76,2.788022356,0.165159897,Cellobiose
1.45,3.603344882,0.665647639,Cellobiose
14.69,8.924209328,0.719571696,Cellobiose
